,index,Path,blood,cancer,normal tissue,stroma
59,7189,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 226.png,0,0,1,0
60,6607,tissue_classification/cancer/TCGA-B0-4828_48337_40988_cancer_6162.png,0,1,0,0
61,4570,tissue_classification/cancer/TCGA-A3-3359_21625_37438_cancer_9305.png,0,1,0,0
62,2091,tissue_classification/cancer/TCGA-B0-5711_25038_9127_cancer_3368.png,0,1,0,0
63,12432,tissue_classification/stroma/TCGA-A3-A8OW_38310_13543_stroma_331.png,0,0,0,1
64,10878,tissue_classification/normal/TCGA-B0-5083_21773_11329_normal_4021.png,0,0,1,0
65,12153,tissue_classification/stroma/TCGA-BP-4987_38139_58670_other_944.png,0,0,0,1
66,10829,tissue_classification/normal/TCGA-B0-5083_12517_40133_normal_4886.png,0,0,1,0
67,739,tissue_classification/cancer/FIMM_2973.mrxs_TumorTile 242.png,0,1,0,0
68,4908,tissue_classification/cancer/TCGA-AK-3430_9124_40882_cancer_12140.png,0,1,0,0
69,1025,tissue_classification/cancer/TCGA-AK-3427_49373_43379_other_140.png,0,1,0,0
70,10991,tissue_classification/normal/TCGA-B0-5083_28900_30182_normal_4224.png,0,0,1,0
71,6400,tissue_classification/cancer/TCGA-B0-4828_45337_35888_cancer_5955.png,0,1,0,0
72,10254,tissue_classification/normal/TCGA-A3-A8OV_62584_15406_normal_5819.png,0,0,1,0
73,4994,tissue_classification/cancer/TCGA-AK-3436_13367_44964_cancer_8599.png,0,1,0,0
74,2663,tissue_classification/cancer/TCGA-CJ-4881_87903_30808_cancer_679.png,0,1,0,0
75,3299,tissue_classification/cancer/FIMM6_2_ML1412121.mrxs_TumorTile 141.png,0,1,0,0
76,2852,tissue_classification/cancer/TCGA-CJ-4884_32762_32230_cancer_573.png,0,1,0,0
77,3012,tissue_classification/cancer/TCGA-CZ-4860_31980_22908_cancer_188.png,0,1,0,0
78,13767,tissue_classification/stroma/FIMM6_2_ML1412121.mrxs_OtherTile 237.png,0,0,0,1
79,2347,tissue_classification/cancer/TCGA-BP-4775_72133_69133_cancer_890.png,0,1,0,0
80,1246,tissue_classification/cancer/FIMM6_14_ML1412133.mrxs_TumorTile 4.png,0,1,0,0
81,11717,tissue_classification/stroma/FIMM_22243_C.mrxs_StromaTile 59.png,0,0,0,1
82,12394,tissue_classification/stroma/TCGA-A3-A8OW_37710_11743_stroma_292.png,0,0,0,1
83,2646,tissue_classification/cancer/TCGA-CJ-4881_87603_29008_cancer_661.png,0,1,0,0
84,5514,tissue_classification/cancer/TCGA-B0-4690_37659_72189_cancer_4895.png,0,1,0,0
85,1966,tissue_classification/cancer/TCGA-B0-5711_21738_7927_cancer_3228.png,0,1,0,0
86,4639,tissue_classification/cancer/TCGA-A3-A6NL_38056_17425_cancer_6899.png,0,1,0,0
87,1856,tissue_classification/cancer/TCGA-AK-3447_19070_4160_cancer_2683.png,0,1,0,0
88,3704,tissue_classification/cancer/FIMM6_94_ML1412213.mrxs_TumorTile 19.png,0,1,0,0
89,11584,tissue_classification/stroma/FIMM_14219_C.mrxs_StromaTile 16.png,0,0,0,1
90,2389,tissue_classification/cancer/TCGA-BP-4973_76956_36247_cancer_980.png,0,1,0,0
91,35,tissue_classification/blood/FIMM_2973.mrxs_BloodTile 36.png,1,0,0,0
92,8119,tissue_classification/normal/TCGA-B0-5083_22673_7429_normal_4064.png,0,0,1,0
93,2437,tissue_classification/cancer/TCGA-BP-5200_74137_6400_cancer_7356.png,0,1,0,0
94,12251,tissue_classification/stroma/FIMM6_2_ML1412121.mrxs_OtherTile 50.png,0,0,0,1
95,6371,tissue_classification/cancer/TCGA-B0-4828_44737_38588_cancer_5926.png,0,1,0,0
96,10744,tissue_classification/normal/TCGA-B0-5083_11317_36833_normal_4799.png,0,0,1,0
97,6700,tissue_classification/cancer/TCGA-B0-4828_49837_40388_cancer_6255.png,0,1,0,0
98,6553,tissue_classification/cancer/TCGA-B0-4828_47737_36188_cancer_6108.png,0,1,0,0
99,9227,tissue_classification/normal/TCGA-CJ-4899_8426_10659_normal_1243.png,0,0,1,0
100,11679,tissue_classification/stroma/FIMM_22243_C.mrxs_StromaTile 21.png,0,0,0,1
101,3224,tissue_classification/cancer/FIMM6_14_ML1412133.mrxs_TumorTile 66.png,0,1,0,0
102,11243,tissue_classification/normal/TCGA-B0-5083_33100_26882_normal_4479.png,0,0,1,0
103,7178,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 215.png,0,0,1,0
104,8713,tissue_classification/normal/TCGA-BP-4170_15803_29993_normal_740.png,0,0,1,0
105,6157,tissue_classification/cancer/TCGA-B0-4718_40860_66461_cancer_2343.png,0,1,0,0
106,11760,tissue_classification/stroma/FIMM_14219_C.mrxs_StromaTile 103.png,0,0,0,1
107,12820,tissue_classification/stroma/TCGA-B0-5109_46886_33908_stroma_953.png,0,0,0,1
108,12764,tissue_classification/stroma/TCGA-B0-4852_55867_50891_stroma_661.png,0,0,0,1
109,9124,tissue_classification/normal/TCGA-CJ-4634_36610_25417_normal_617.png,0,0,1,0
110,9171,tissue_classification/normal/TCGA-CJ-4899_11426_8559_normal_1426.png,0,0,1,0
111,7764,tissue_classification/normal/FIMM_14219_C.mrxs_NormalTile 162.png,0,0,1,0
112,3178,tissue_classification/cancer/FIMM6_14_ML1412133.mrxs_TumorTile 20.png,0,1,0,0
113,9740,tissue_classification/normal/TCGA-EU-5907_8055_55497_normal_1714.png,0,0,1,0
114,11574,tissue_classification/stroma/FIMM_22243_C.mrxs_StromaTile 5.png,0,0,0,1
115,13779,tissue_classification/stroma/FIMM6_2_ML1412121.mrxs_OtherTile 249.png,0,0,0,1
116,11866,tissue_classification/stroma/FIMM_14219_C.mrxs_StromaTile 216.png,0,0,0,1
117,9912,tissue_classification/normal/TCGA-G6-A8L8_95602_8102_normal_5010.png,0,0,1,0
118,486,tissue_classification/blood/TCGA-DV-5566_60656_32532_blood_319.png,1,0,0,0
119,5050,tissue_classification/cancer/TCGA-AK-3458_39507_16120_cancer_5096.png,0,1,0,0
120,13042,tissue_classification/stroma/TCGA-BP-4173_60225_3186_stroma_1665.png,0,0,0,1
121,3489,tissue_classification/cancer/FIMM6_41_ML1412160.mrxs_TumorTile 88.png,0,1,0,0
122,4673,tissue_classification/cancer/TCGA-A3-A8OW_21932_24604_cancer_1140.png,0,1,0,0
123,4561,tissue_classification/cancer/TCGA-A3-3359_21325_38638_cancer_9295.png,0,1,0,0
124,7421,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 458.png,0,0,1,0
125,13355,tissue_classification/stroma/TCGA-BP-5190_72971_25892_stroma_580.png,0,0,0,1
126,5334,tissue_classification/cancer/TCGA-AK-3458_44607_14320_cancer_5379.png,0,1,0,0
127,11395,tissue_classification/stroma/FIMM_2973.mrxs_StromaTile 105.png,0,0,0,1
128,4175,tissue_classification/cancer/TCGA-A3-3326_14981_37698_cancer_5656.png,0,1,0,0
129,8438,tissue_classification/normal/TCGA-B0-5812_37054_45704_normal_958.png,0,0,1,0
130,11036,tissue_classification/normal/TCGA-B0-5083_29800_27182_normal_4271.png,0,0,1,0
131,6929,tissue_classification/cancer/TCGA-B0-4847_74220_51779_cancer_3734.png,0,1,0,0
132,10894,tissue_classification/normal/TCGA-B0-5083_22373_11029_normal_4057.png,0,0,1,0
133,4753,tissue_classification/cancer/TCGA-A3-A8OW_25532_25504_cancer_1225.png,0,1,0,0
134,9953,tissue_classification/normal/TCGA-G6-A8L8_97102_6602_normal_5053.png,0,0,1,0
135,1576,tissue_classification/cancer/TCGA-A3-A6NL_37836_5177_cancer_6646.png,0,1,0,0
136,215,tissue_classification/blood/TCGA-B0-4823_58080_69124_blood_14.png,1,0,0,0
137,416,tissue_classification/blood/TCGA-BP-4968_23858_59648_blood_208.png,1,0,0,0
138,11807,tissue_classification/stroma/FIMM_14219_C.mrxs_StromaTile 150.png,0,0,0,1
139,3470,tissue_classification/cancer/FIMM6_41_ML1412160.mrxs_TumorTile 69.png,0,1,0,0
140,3407,tissue_classification/cancer/FIMM6_2_ML1412121.mrxs_TumorTile 250.png,0,1,0,0
141,13820,tissue_classification/stroma/FIMM6_2_ML1412121.mrxs_OtherTile 324.png,0,0,0,1
142,11207,tissue_classification/normal/TCGA-B0-5083_32500_27482_normal_4443.png,0,0,1,0
143,12387,tissue_classification/stroma/TCGA-A3-A8OW_37410_13243_stroma_285.png,0,0,0,1
144,1510,tissue_classification/cancer/TCGA-A3-3380_40077_7912_cancer_8835.png,0,1,0,0
145,9323,tissue_classification/normal/TCGA-CZ-5470_27932_52051_normal_115.png,0,0,1,0
146,13595,tissue_classification/stroma/TCGA-EU-5905_83040_72663_other_2251.png,0,0,0,1
147,8885,tissue_classification/normal/TCGA-BP-4993_7413_13120_normal_6046.png,0,0,1,0
148,7009,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 46.png,0,0,1,0
149,5254,tissue_classification/cancer/TCGA-AK-3458_43107_16120_cancer_5300.png,0,1,0,0
150,9513,tissue_classification/normal/TCGA-CZ-5470_30932_52351_normal_306.png,0,0,1,0
151,10716,tissue_classification/normal/TCGA-B0-5083_10717_39833_normal_4771.png,0,0,1,0
152,2252,tissue_classification/cancer/TCGA-BP-4771_25972_68891_cancer_997.png,0,1,0,0
153,13065,tissue_classification/stroma/TCGA-BP-4173_86205_7573_stroma_1688.png,0,0,0,1
154,11249,tissue_classification/normal/TCGA-B0-5083_33100_28682_normal_4485.png,0,0,1,0
155,5565,tissue_classification/cancer/TCGA-B0-4690_38982_56181_cancer_4416.png,0,1,0,0
156,13775,tissue_classification/stroma/FIMM6_2_ML1412121.mrxs_OtherTile 245.png,0,0,0,1
157,7430,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 467.png,0,0,1,0
158,1996,tissue_classification/cancer/TCGA-B0-5711_22638_7027_cancer_3263.png,0,1,0,0
159,9040,tissue_classification/normal/TCGA-CJ-4634_34810_27817_normal_530.png,0,0,1,0
160,5833,tissue_classification/cancer/TCGA-B0-4690_43182_56781_cancer_4684.png,0,1,0,0
161,13863,tissue_classification/stroma/FIMM6_2_ML1412121.mrxs_OtherTile 398.png,0,0,0,1
162,3214,tissue_classification/cancer/FIMM6_14_ML1412133.mrxs_TumorTile 56.png,0,1,0,0
163,4382,tissue_classification/cancer/TCGA-A3-3359_18025_35638_cancer_9108.png,0,1,0,0
164,5774,tissue_classification/cancer/TCGA-B0-4690_42282_56181_cancer_4625.png,0,1,0,0
165,7419,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 456.png,0,0,1,0
166,5479,tissue_classification/cancer/TCGA-B0-4690_36459_73389_cancer_4859.png,0,1,0,0
167,5343,tissue_classification/cancer/TCGA-AK-3458_44607_17020_cancer_5388.png,0,1,0,0
168,11853,tissue_classification/stroma/FIMM_14219_C.mrxs_StromaTile 203.png,0,0,0,1
169,4701,tissue_classification/cancer/TCGA-A3-A8OW_23132_25804_cancer_1172.png,0,1,0,0
170,3761,tissue_classification/cancer/TCGA-A3-3324_10810_23225_cancer_9711.png,0,1,0,0
171,8740,tissue_classification/normal/TCGA-BP-4170_16403_26693_normal_767.png,0,0,1,0
172,3856,tissue_classification/cancer/TCGA-A3-3324_12910_23225_cancer_9808.png,0,1,0,0
173,11357,tissue_classification/stroma/FIMM_2973.mrxs_StromaTile 67.png,0,0,0,1
174,13311,tissue_classification/stroma/TCGA-BP-4992_22219_36118_other_1084.png,0,0,0,1
175,1853,tissue_classification/cancer/TCGA-AK-3447_18770_4160_cancer_2680.png,0,1,0,0
176,3392,tissue_classification/cancer/FIMM6_2_ML1412121.mrxs_TumorTile 235.png,0,1,0,0
177,11980,tissue_classification/stroma/FIMM_22243_C.mrxs_StromaTile 211.png,0,0,0,1
178,1563,tissue_classification/cancer/TCGA-A3-A6NL_37536_5177_cancer_6632.png,0,1,0,0
179,6465,tissue_classification/cancer/TCGA-B0-4828_46237_38288_cancer_6020.png,0,1,0,0
180,3562,tissue_classification/cancer/FIMM6_62_ML1412181.mrxs_TumorTile 61.png,0,1,0,0
181,349,tissue_classification/blood/TCGA-B2-5633_25700_11687_blood_238.png,1,0,0,0
182,9403,tissue_classification/normal/TCGA-CZ-5470_29132_53251_normal_195.png,0,0,1,0
183,5235,tissue_classification/cancer/TCGA-AK-3458_42807_15520_cancer_5281.png,0,1,0,0
184,8106,tissue_classification/normal/TCGA-B0-5083_22073_9529_normal_4034.png,0,0,1,0
185,3943,tissue_classification/cancer/TCGA-A3-3326_11381_32898_cancer_5424.png,0,1,0,0
186,6866,tissue_classification/cancer/TCGA-B0-4847_71520_53279_cancer_3611.png,0,1,0,0
187,5246,tissue_classification/cancer/TCGA-AK-3458_42807_18820_cancer_5292.png,0,1,0,0
188,5884,tissue_classification/cancer/TCGA-B0-4690_44082_54981_cancer_4735.png,0,1,0,0
189,5686,tissue_classification/cancer/TCGA-B0-4690_40782_58281_cancer_4537.png,0,1,0,0
190,11746,tissue_classification/stroma/FIMM_22243_C.mrxs_StromaTile 88.png,0,0,0,1
191,2825,tissue_classification/cancer/TCGA-CJ-4884_32162_31930_cancer_546.png,0,1,0,0
192,3556,tissue_classification/cancer/FIMM6_62_ML1412181.mrxs_TumorTile 54.png,0,1,0,0
193,2880,tissue_classification/cancer/TCGA-CJ-4884_33362_32830_cancer_601.png,0,1,0,0
194,9434,tissue_classification/normal/TCGA-CZ-5470_29432_56851_normal_226.png,0,0,1,0
195,4238,tissue_classification/cancer/TCGA-A3-3326_16181_34998_cancer_5719.png,0,1,0,0
196,7747,tissue_classification/normal/FIMM_14219_C.mrxs_NormalTile 145.png,0,0,1,0
197,3857,tissue_classification/cancer/TCGA-A3-3324_12910_23525_cancer_9809.png,0,1,0,0
198,9588,tissue_classification/normal/TCGA-EU-5907_5655_52197_normal_1560.png,0,0,1,0
199,10264,tissue_classification/normal/TCGA-A3-A8OV_62884_12706_normal_5829.png,0,0,1,0
200,12666,tissue_classification/stroma/TCGA-B0-4696_69290_4941_stroma_1328.png,0,0,0,1
201,7469,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 506.png,0,0,1,0
202,12106,tissue_classification/stroma/TCGA-AK-3431_60827_6286_stroma_160.png,0,0,0,1
203,7379,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 416.png,0,0,1,0
204,8392,tissue_classification/normal/TCGA-B0-5812_36154_49004_normal_912.png,0,0,1,0
205,5099,tissue_classification/cancer/TCGA-AK-3458_40407_15520_cancer_5145.png,0,1,0,0
206,2443,tissue_classification/cancer/TCGA-BP-5200_74737_6400_cancer_7362.png,0,1,0,0
207,5927,tissue_classification/cancer/TCGA-B0-4701_15144_29950_cancer_6400.png,0,1,0,0
208,4150,tissue_classification/cancer/TCGA-A3-3326_14681_35598_cancer_5631.png,0,1,0,0
209,10931,tissue_classification/normal/TCGA-B0-5083_23573_11629_normal_4134.png,0,0,1,0
210,9028,tissue_classification/normal/TCGA-CJ-4634_34510_29017_normal_518.png,0,0,1,0
211,3291,tissue_classification/cancer/FIMM6_2_ML1412121.mrxs_TumorTile 133.png,0,1,0,0
212,13502,tissue_classification/stroma/TCGA-CZ-4860_32580_24708_stroma_194.png,0,0,0,1
213,7399,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 436.png,0,0,1,0
214,7183,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 220.png,0,0,1,0
215,2456,tissue_classification/cancer/TCGA-CJ-4637_38506_13761_cancer_129.png,0,1,0,0
216,13580,tissue_classification/stroma/TCGA-DV-5569_9299_56466_stroma_2127.png,0,0,0,1
217,4187,tissue_classification/cancer/TCGA-A3-3326_15281_35898_cancer_5668.png,0,1,0,0
218,596,tissue_classification/cancer/FIMM_2973.mrxs_TumorTile 99.png,0,1,0,0
219,2207,tissue_classification/cancer/TCGA-BP-4351_8710_58369_cancer_2275.png,0,1,0,0
220,259,tissue_classification/blood/TCGA-BP-4982_44894_49197_blood_68.png,1,0,0,0
221,7358,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 395.png,0,0,1,0
222,3020,tissue_classification/cancer/TCGA-CZ-4860_31980_26508_cancer_199.png,0,1,0,0
223,12598,tissue_classification/stroma/TCGA-B0-4696_66590_6141_stroma_1257.png,0,0,0,1
224,3531,tissue_classification/cancer/FIMM6_62_ML1412181.mrxs_TumorTile 28.png,0,1,0,0
225,10000,tissue_classification/normal/TCGA-G6-A8L8_98902_7802_normal_5102.png,0,0,1,0
226,8403,tissue_classification/normal/TCGA-B0-5812_36454_46604_normal_923.png,0,0,1,0
227,6345,tissue_classification/cancer/TCGA-B0-4828_44437_36488_cancer_5900.png,0,1,0,0
228,11976,tissue_classification/stroma/FIMM_22243_C.mrxs_StromaTile 207.png,0,0,0,1
229,7864,tissue_classification/normal/FIMM_22243_C.mrxs_NormalTile 189.png,0,0,1,0
230,910,tissue_classification/cancer/FIMM_14219_C.mrxs_TumorTile 83.png,0,1,0,0
231,1782,tissue_classification/cancer/TCGA-A3-A8OW_37410_9943_cancer_1117.png,0,1,0,0
232,941,tissue_classification/cancer/FIMM_22243_C.mrxs_TumorTile 33.png,0,1,0,0
233,10118,tissue_classification/normal/TCGA-A3-A8OV_60484_14506_normal_5683.png,0,0,1,0
234,10860,tissue_classification/normal/TCGA-B0-5083_13117_38333_normal_4918.png,0,0,1,0
235,772,tissue_classification/cancer/FIMM_2973.mrxs_TumorTile 275.png,0,1,0,0
236,6197,tissue_classification/cancer/TCGA-B0-4718_42060_67361_cancer_2384.png,0,1,0,0
237,13860,tissue_classification/stroma/FIMM6_2_ML1412121.mrxs_OtherTile 395.png,0,0,0,1
238,6300,tissue_classification/cancer/TCGA-B0-4814_14067_35802_cancer_8326.png,0,1,0,0
239,2196,tissue_classification/cancer/TCGA-BP-4351_8410_58069_cancer_2264.png,0,1,0,0
240,7856,tissue_classification/normal/FIMM_22243_C.mrxs_NormalTile 181.png,0,0,1,0
241,574,tissue_classification/cancer/FIMM_2973.mrxs_TumorTile 77.png,0,1,0,0
242,2921,tissue_classification/cancer/TCGA-CJ-4884_34262_33430_cancer_642.png,0,1,0,0
243,12514,tissue_classification/stroma/TCGA-A3-A8OW_39810_14143_stroma_418.png,0,0,0,1
244,4441,tissue_classification/cancer/TCGA-A3-3359_18925_37138_cancer_9167.png,0,1,0,0
245,9593,tissue_classification/normal/TCGA-EU-5907_5655_53697_normal_1565.png,0,0,1,0
246,7225,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 262.png,0,0,1,0
247,387,tissue_classification/blood/TCGA-BP-4338_76772_33501_blood_116.png,1,0,0,0
248,9777,tissue_classification/normal/TCGA-EU-5907_8655_55797_normal_1751.png,0,0,1,0
249,1579,tissue_classification/cancer/TCGA-A3-A6NL_37836_6077_cancer_6649.png,0,1,0,0
250,350,tissue_classification/blood/TCGA-B2-5633_26000_10187_blood_239.png,1,0,0,0
251,2856,tissue_classification/cancer/TCGA-CJ-4884_32762_33430_cancer_577.png,0,1,0,0
252,2737,tissue_classification/cancer/TCGA-CJ-4881_89703_31708_cancer_754.png,0,1,0,0
253,2854,tissue_classification/cancer/TCGA-CJ-4884_32762_32830_cancer_575.png,0,1,0,0
254,2466,tissue_classification/cancer/TCGA-CJ-4871_28137_48493_cancer_288.png,0,1,0,0
255,3709,tissue_classification/cancer/FIMM6_94_ML1412213.mrxs_TumorTile 24.png,0,1,0,0
256,12937,tissue_classification/stroma/TCGA-BP-4173_57225_5286_stroma_1560.png,0,0,0,1
257,6221,tissue_classification/cancer/TCGA-B0-4718_42960_65861_cancer_2408.png,0,1,0,0
258,14015,tissue_classification/stroma/FIMM6_2_ML1412121.mrxs_OtherTile 637.png,0,0,0,1
259,6838,tissue_classification/cancer/TCGA-B0-4847_39658_41457_cancer_3567.png,0,1,0,0
260,12045,tissue_classification/stroma/TCGA-AK-3431_44659_16165_stroma_47.png,0,0,0,1
261,5224,tissue_classification/cancer/TCGA-AK-3458_42507_17320_cancer_5270.png,0,1,0,0
262,10718,tissue_classification/normal/TCGA-B0-5083_11017_34733_normal_4773.png,0,0,1,0
263,13219,tissue_classification/stroma/TCGA-BP-4781_29619_41611_stroma_869.png,0,0,0,1
264,11566,tissue_classification/stroma/FIMM_14219_C.mrxs_StromaTile 6.png,0,0,0,1
265,11353,tissue_classification/stroma/FIMM_2973.mrxs_StromaTile 63.png,0,0,0,1
266,5276,tissue_classification/cancer/TCGA-AK-3458_43407_17620_cancer_5322.png,0,1,0,0
267,401,tissue_classification/blood/TCGA-BP-4776_9921_55940_other_3009.png,1,0,0,0
268,8240,tissue_classification/normal/TCGA-B0-5083_8317_39533_normal_4618.png,0,0,1,0
269,884,tissue_classification/cancer/FIMM_14219_C.mrxs_TumorTile 57.png,0,1,0,0
270,4020,tissue_classification/cancer/TCGA-A3-3326_12581_34398_cancer_5501.png,0,1,0,0
271,8747,tissue_classification/normal/TCGA-BP-4170_16403_28793_normal_774.png,0,0,1,0
272,3240,tissue_classification/cancer/FIMM6_14_ML1412133.mrxs_TumorTile 82.png,0,1,0,0
273,5982,tissue_classification/cancer/TCGA-B0-4701_16644_30550_cancer_6457.png,0,1,0,0
274,10363,tissue_classification/normal/TCGA-A3-A8OV_64384_13906_normal_5928.png,0,0,1,0
275,1170,tissue_classification/cancer/TCGA-CJ-4907_83564_40747_other_745.png,0,1,0,0
276,3417,tissue_classification/cancer/FIMM6_41_ML1412160.mrxs_TumorTile 15.png,0,1,0,0
277,4226,tissue_classification/cancer/TCGA-A3-3326_15881_36798_cancer_5707.png,0,1,0,0
278,12757,tissue_classification/stroma/TCGA-B0-4852_55567_51491_stroma_647.png,0,0,0,1
279,11386,tissue_classification/stroma/FIMM_2973.mrxs_StromaTile 96.png,0,0,0,1
280,467,tissue_classification/blood/TCGA-CJ-4641_46320_27318_blood_338.png,1,0,0,0
281,13510,tissue_classification/stroma/TCGA-CZ-4860_44896_30077_stroma_185.png,0,0,0,1
